Grapheme	IPA	Languages
^auto$	ɑu t oː	Dutch
^autorijden$	ɑu t oː r ɛi d ə	Dutch
^avond$	aː v ɔ n t	Dutch
^avondeten$	aː v ɔ n d eː t ə	Dutch
^baai$	b aː j	Dutch
^baard$	b aː r t	Dutch
^baarmoeder$	b aː r m uː d ə r	Dutch
^baas$	b aː s	Dutch
^baby$	b eː b iː	Dutch
^baden$	b aː d ə	Dutch
^bakken$	b ɑ k ə	Dutch
^baksteen$	b ɑ k s t eː n	Dutch
^bal$	b ɑ l	Dutch
^balk$	b ɑ l k	Dutch
^ballen$	b ɑ l ə	Dutch
^bamboe$	b ɑ m b uː	Dutch
^banaan$	b aː n aː n	Dutch
^bank$	b ɑ ŋ k	Dutch
^banyan$	b ɑ n j a n	Dutch
^bast$	b ɑ s t	Dutch
^bataat$	b aː t aː t	Dutch
^batterij$	b ɑ t ə r ɛi	Dutch
^bed$	b ɛ t	Dutch
^bedekken$	b ə d ɛ k ə	Dutch
^bedelaar$	b eː d ə l aː r	Dutch
^bediende$	b ə d iː n d ə	Dutch
^bedoeling$	b ə d uː l ɪ ŋ	Dutch
^bedrog$	b ə d r ɔ x	Dutch
^beeldhouwer$	b eː l t h ɑu ʋ ə r	Dutch
^been$	b eː n	Dutch
^beer$	b eː r	Dutch
^beest$	b eː s t	Dutch
^begin$	b ə ɣ ɪ n	Dutch
^beginnen$	b ə ɣ ɪ n ə	Dutch
^begraven$	b ə ɣ r aː v ə	Dutch
^begrijpen$	b ə ɣ r ɛi p ə	Dutch
^behouden$	b ə h ɑu d ə	Dutch
^beitel$	b ɛi t ə l	Dutch
^bek$	b ɛ k	Dutch
^bekennen$	b ə k ɛ n ə	Dutch
^belasting$	b ə l ɑ s t ɪ ŋ	Dutch
^beloven$	b ə l oː v ə	Dutch
^berg$	b ɛ r x	Dutch
^berispen$	b ə r ɪ s p ə	Dutch
^berk$	b ɛ r k	Dutch
^beschadigen$	b ə s x aː d ə ɣ ə	Dutch
^beschuldigen$	b ə s x ʏ l d ə ɣ ə	Dutch
^besnijdenis$	b ə s n ɛi d ə n ɪ s	Dutch
^betalen$	b ə t aː l ə	Dutch
^beuk$	b øː k	Dutch
^bevelen$	b ə v eː l ə	Dutch
^bever$	b eː v ə r	Dutch
^bevolking$	b ə v ɔ l k ɪ ŋ	Dutch
^bevriezen$	b ə v r iː z ə	Dutch
^bevrijden$	b ə v r ɛi d ə	Dutch
^bewaker$	b ə ʋ aː k ə r	Dutch
^bewaren$	b ə ʋ aː r ə	Dutch
^bewegen$	b ə ʋ eː ɣ ə	Dutch
^bezem$	b eː z ə m	Dutch
^bezitten$	b ə z ɪ t ə	Dutch
^bidden$	b ɪ d ə	Dutch
^bier$	b iː r	Dutch
^bij$	b ɛi	Dutch
^bijeenroepen$	b ɛi eː n r uː p ə	Dutch
^bijenkorf$	b ɛi j ə k ɔ r f	Dutch
^bijl$	b ɛi l	Dutch
^bijten$	b ɛi t ə	Dutch
^billen$	b ɪ l ə	Dutch
^binden$	b ɪ n d ə	Dutch
^binnen$	b ɪ n ə	Dutch
^binnenkomen$	b ɪ n ə k oː m ə	Dutch
^binnenplaats$	b ɪ n ə p l aː t s	Dutch
^bitter$	b ɪ t ə r	Dutch
^blaar$	b l aː r	Dutch
^blad$	b l ɑ t	Dutch
^blauw$	b l ɑu ʋ	Dutch
^blazen$	b l aː z ə	Dutch
^blijven$	b l ɛi v ə	Dutch
^blik$	b l ɪ k	Dutch
^bliksem$	b l ɪ k s ə m	Dutch
^bliksemschicht$	b l ɪ k s ə m s x ɪ x t	Dutch
^blind$	b l ɪ n t	Dutch
^bloed$	b l uː t	Dutch
^bloedvat$	b l uː t f ɑ t	Dutch
^bloem$	b l uː m	Dutch
^bodem$	b oː d ə m	Dutch
^boek$	b uː k	Dutch
^boemerang$	b uː m ə r ɑ ŋ	Dutch
^boer$	b uː r	Dutch
^boete$	b uː t ə	Dutch
^boetseren$	b uː t s eː r ə	Dutch
^bok$	b ɔ k	Dutch
^bol$	b ɔ l	Dutch
^bom$	b ɔ m	Dutch
^bont$	b ɔ n t	Dutch
^bonzen$	b ɔ n z ə	Dutch
^boog (1)$	b oː x	Dutch
^boog (2)$	b oː x	Dutch
^boom$	b oː m	Dutch
^boomstam$	b oː m s t ɑ m	Dutch
^boon$	b oː n	Dutch
^boot$	b oː t	Dutch
^bord$	b ɔ r t	Dutch
^boren$	b oː r ə	Dutch
^borst$	b ɔ r s t	Dutch
^borstel$	b ɔ r s t ə l	Dutch
^bos$	b ɔ s	Dutch
^bos(je)$	b ɔ s	Dutch
^bot (1)$	b ɔ t	Dutch
^bot (2)$	b ɔ t	Dutch
^boter$	b oː t ə r	Dutch
^bouwen$	b ɑu ʋ ə	Dutch
^boven$	b oː v ə	Dutch
^braden$	b r aː d ə	Dutch
^brak$	b r ɑ k	Dutch
^braken$	b r aː k ə	Dutch
^branden$	b r ɑ n d ə	Dutch
^brandhout$	b r ɑ n t h ɑu t	Dutch
^brandstichting$	b r ɑ n t s t ɪ x t ɪ ŋ	Dutch
^breed$	b r eː t	Dutch
^breken$	b r eː k ə	Dutch
^brengen$	b r ɛ ŋ ə	Dutch
^brief$	b r iː f	Dutch
^briefkaart$	b r iː f k aː r t	Dutch
^bril$	b r ɪ l	Dutch
^broek$	b r uː k	Dutch
^broer$	b r uː r	Dutch
^bron$	b r ɔ n	Dutch
^brood$	b r oː t	Dutch
^brug$	b r ʏ x	Dutch
^bruiloft$	b r œy l ɔ f t	Dutch
^buffel$	b ʏ f ə l	Dutch
^buigen$	b œy ɣ ə	Dutch
^buik$	b œy k	Dutch
^buit$	b œy t	Dutch
^buiten$	b œy t ə	Dutch
^burger$	b ʏ r ɣ ə r	Dutch
^bus$	b ʏ s	Dutch
^buur$	b yː r	Dutch
^cassave$	k ɑ s aː v ə	Dutch
^ceintuur$	s ɛ n t yː r	Dutch
^cirkel$	s ɪ r k ə l	Dutch
^citrusvrucht$	s iː t r ʏ s f r ʏ x t	Dutch
^coyote$	k oː j oː t ə	Dutch
^daar$	d aː r	Dutch
^dag$	d ɑ x	Dutch
^dageraad$	d aː ɣ ə r aː t	Dutch
^dak$	d ɑ k	Dutch
^dakspar$	d ɑ k s p ɑ r	Dutch
^dal$	d ɑ l	Dutch
^dansen$	d ɑ n s ə	Dutch
^dapper$	d ɑ p ə r	Dutch
^dauw$	d ɑu ʋ	Dutch
^deeg$	d eː x	Dutch
^deel$	d eː l	Dutch
^deken$	d eː k ə	Dutch
^delen$	d eː l ə	Dutch
^demon$	d eː m ɔ n	Dutch
^den$	d ɛ n	Dutch
^denken$	d ɛ ŋ k ə	Dutch
^dennenappel$	d ɛ n ə ɑ p ə l	Dutch
^derde$	d ɛ r d ə	Dutch
^deur$	d øː r	Dutch
^deurpost$	d øː r p ɔ s t	Dutch
^deze$	d eː z ə	Dutch
^dezelfde$	d ə z ɛ l v d ə	Dutch
^dichtbij$	d ɪ ɣ d b ɛi	Dutch
^dichter$	d ɪ x t ə r	Dutch
^die$	d iː	Dutch
^dief$	d iː f	Dutch
^diep$	d iː p	Dutch
^dier$	d iː r	Dutch
^dij$	d ɛi	Dutch
^dik$	d ɪ k	Dutch
^diner$	d iː n eː	Dutch
^ding$	d ɪ ŋ	Dutch
^dinsdag$	d ɪ n z d ɑ x	Dutch
^direct$	d iː r ɛ k t	Dutch
^dissel$	d ɪ s ə l	Dutch
^dochter$	d ɔ x t ə r	Dutch
^doden$	d oː d ə	Dutch
^doen$	d uː n	Dutch
^dokter$	d ɔ k t ə r	Dutch
^dolfijn$	d ɔ l f ɛi n	Dutch
^dom$	d ɔ m	Dutch
^donder$	d ɔ n d ə r	Dutch
^donderdag$	d ɔ n d ə r d ɑ x	Dutch
^donker$	d ɔ ŋ k ə r	Dutch
^dood$	d oː t	Dutch
^doof$	d oː f	Dutch
^dooier$	d oː j ə r	Dutch
^door$	d oː r	Dutch
^doorslikken$	d oː r s l ɪ k ə	Dutch
^doorsnijden$	d oː r s n ɛi d ə	Dutch
^dorp$	d ɔ r p	Dutch
^dorsen$	d ɔ r s ə	Dutch
^dorst hebben$	d ɔ r s t # h ɛ b ə	Dutch
^dorsvloer$	d ɔ r s f l uː r	Dutch
^doven$	d oː v ə	Dutch
^draad$	d r aː t	Dutch
^draagband$	d r aː ɣ b ɑ n t	Dutch
^draaien$	d r aː j ə	Dutch
^draaikolk$	d r aː j k ɔ l k	Dutch
^dragen$	d r aː ɣ ə	Dutch
^drank$	d r ɑ ŋ k	Dutch
^dreigen$	d r ɛi ɣ ə	Dutch
^drie$	d r iː	Dutch
^driemaal$	d r iː m aː l	Dutch
^drijven$	d r ɛi v ə	Dutch
^drinken$	d r ɪ ŋ k ə	Dutch
^dromen$	d r oː m ə	Dutch
^dronken$	d r ɔ ŋ k ə	Dutch
^droog$	d r oː x	Dutch
^druif$	d r œy f	Dutch
^drukken$	d r ʏ k ə	Dutch
^druppelen$	d r ʏ p ə l ə	Dutch
^duidelijk$	d œy d ə l ə k	Dutch
^duif$	d œy f	Dutch
^duiken$	d œy k ə	Dutch
^duim$	d œy m	Dutch
^duisternis$	d œy s t ə r n ɪ s	Dutch
^duizend$	d œy z ə n t	Dutch
^duizendpoot$	d œy z ə n t p oː t	Dutch
^dun$	d ʏ n	Dutch
^duren$	d yː r ə	Dutch
^durven$	d ʏ r v ə	Dutch
^duur$	d yː r	Dutch
^duwen$	d yː ʋ ə	Dutch
^eb$	ɛ p	Dutch
^echtgenoot$	ɛ x t x ə n oː t	Dutch
^echtgenote$	ɛ x t x ə n oː t ə	Dutch
^edele$	eː d ə l ə	Dutch
^eed$	eː t	Dutch
^eekhoorn$	eː k h oː r n	Dutch
^een$	ə n	Dutch
^een scheet laten$	ə n # s x eː t # l aː t ə	Dutch
^eend$	eː n t	Dutch
^eergisteren$	eː r ɣ ɪ s t ə r ə	Dutch
^eerste$	eː r s t ə	Dutch
^ei$	ɛi	Dutch
^eik$	ɛi k	Dutch
^eikel$	ɛi k ə l	Dutch
^eiland$	ɛi l ɑ n t	Dutch
^einde$	ɛi n d ə	Dutch
^eland$	eː l ɑ n t	Dutch
^elektriciteit$	eː l ɛ k t r iː s iː t ɛi t	Dutch
^elf (1)$	ɛ l f	Dutch
^elf (2)$	ɛ l f	Dutch
^elleboog$	ɛ l ə b oː x	Dutch
^els$	ɛ l s	Dutch
^en$	ɛ n	Dutch
^enige$	eː n ə ɣ ə	Dutch
^enkel$	ɛ ŋ k ə l	Dutch
^enkele$	ɛ ŋ k ə l ə	Dutch
^eten$	eː t ə	Dutch
^etter$	ɛ t ə r	Dutch
^ezel$	eː z ə l	Dutch
^familie$	f aː m iː l iː	Dutch
^fee$	f eː	Dutch
^fiets$	f iː t s	Dutch
^fijnmalen$	f ɛi n m aː l ə	Dutch
^film$	f ɪ l m	Dutch
^fles$	f l ɛ s	Dutch
^fluisteren$	f l œy s t ə r ə	Dutch
^fluit$	f l œy t	Dutch
^fluiten$	f l œy t ə	Dutch
^fout$	f ɑu t	Dutch
^fruit$	f r œy t	Dutch
^fuik$	f œy k	Dutch
^gaan$	x aː n	Dutch
^gaan liggen$	x aː n # l ɪ ɣ ə	Dutch
^gans$	x ɑ n s	Dutch
^garnaal$	x ɑ r n aː l	Dutch
^gast$	x ɑ s t	Dutch
^gastheer$	x ɑ s t h eː r	Dutch
^gat$	x ɑ t	Dutch
^gauw$	x ɑu ʋ	Dutch
^geboortebewijs$	x ə b oː r t ə b ə ʋ ɛi s	Dutch
^geboren worden$	x ə b oː r ə # ʋ ɔ r d ə	Dutch
^gedaagde$	x ə d aː ɣ d ə	Dutch
^geel$	x eː l	Dutch
^geest (1)$	x eː s t	Dutch
^geest (2)$	x eː s t	Dutch
^geeuwen$	x eː ʋ ə	Dutch
^geheim$	x ə h ɛi m	Dutch
^gehoorzamen$	x ə h oː r z aː m ə	Dutch
^geit$	x ɛi t	Dutch
^geitje$	x ɛi t j ə	Dutch
^gek$	x ɛ k	Dutch
^gekookt$	x ə k oː k t	Dutch
^geld$	x ɛ l t	Dutch
^gelijk$	x ə l ɛi k	Dutch
^geloven$	x ə l oː v ə	Dutch
^geluid$	x ə l œy t	Dutch
^geluk$	x ə l ʏ k	Dutch
^gelukkig$	x ə l ʏ k ə x	Dutch
^gemakkelijk$	x ə m ɑ k ə l ə k	Dutch
^genezen$	x ə n eː z ə	Dutch
^genoeg$	x ə n uː x	Dutch
^gereed$	x ə r eː t	Dutch
^gereedschap$	x ə r eː t s x ɑ p	Dutch
^gerimpeld$	x ə r ɪ m p ə l t	Dutch
^gerst$	x ɛ r s t	Dutch
^geslacht$	x ə s l ɑ x t	Dutch
^getal$	x ə t ɑ l	Dutch
^getij(de)$	x ə t ɛi	Dutch
^getrouwde man$	x ə t r ɑu ʋ d ə # m ɑ n	Dutch
^getrouwde vrouw$	x ə t r ɑu ʋ d ə # v r ɑu ʋ	Dutch
^getuige$	x ə t œy ɣ ə	Dutch
^gevaar$	x ə v aː r	Dutch
^gevangene$	x ə v ɑ ŋ ə n ə	Dutch
^gevangenis$	x ə v ɑ ŋ ə n ɪ s	Dutch
^gevecht$	x ə v ɛ x t	Dutch
^geven$	x eː v ə	Dutch
^gevorkte tak$	x ə v ɔ r k t ə # t ɑ k	Dutch
^geweer$	x ə ʋ eː r	Dutch
^gewoonte$	x ə ʋ oː n t ə	Dutch
^gezicht$	x ə z ɪ x t	Dutch
^gezin$	x ə z ɪ n	Dutch
^gezond$	x ə z ɔ n t	Dutch
^gier$	x iː r	Dutch
^gierig$	x iː r ə x	Dutch
^gierst$	x iː r s t	Dutch
^gieten$	x iː t ə	Dutch
^gif$	x ɪ f	Dutch
^gissen$	x iː s ə	Dutch
^gisteren$	x ɪ s t ə r ə	Dutch
^glad$	x l ɑ t	Dutch
^glas$	x l ɑ s	Dutch
^glijden$	x l ɛi d ə	Dutch
^glimlachen$	x l ɪ m l ɑ x ə	Dutch
^glimworm$	x l ɪ m ʋ ɔ r m	Dutch
^god$	x ɔ t	Dutch
^godsdienst$	x ɔ d z d iː n s t	Dutch
^goed$	x uː t	Dutch
^goedkoop$	x uː t k oː p	Dutch
^golf$	x ɔ l f	Dutch
^gooien$	x oː j ə	Dutch
^gootsteen$	x oː t s t eː n	Dutch
^gordel$	x ɔ r d ə l	Dutch
^goud$	x ɑu t	Dutch
^graafstok$	x r aː f s t ɔ k	Dutch
^graan$	x r aː n	Dutch
^graf$	x r ɑ f	Dutch
^gras$	x r ɑ s	Dutch
^grasrokje$	x r ɑ s r ɔ k j ə	Dutch
^graven$	x r aː v ə	Dutch
^grens$	x r ɛ n s	Dutch
^groeien$	x r uː j ə	Dutch
^groen$	x r uː n	Dutch
^groente$	x r uː n t ə	Dutch
^groot$	x r oː t	Dutch
^grootmoeder$	x r oː t m uː d ə r	Dutch
^grootouders$	x r oː t ɑu d ə r s	Dutch
^grootvader$	x r oː t f aː d ə r	Dutch
^grot$	x r ɔ t	Dutch
^gulzig$	x ʏ l z ə x	Dutch
^haai$	h aː j	Dutch
^haak$	h aː k	Dutch
^haan$	h aː n	Dutch
^haar$	h aː r	Dutch
^haard$	h aː r t	Dutch
^haas$	h aː s	Dutch
^hagedis$	h aː ɣ ə d ɪ s	Dutch
^hakken$	h ɑ k ə	Dutch
^hals$	h ɑ l s	Dutch
^hamer$	h aː m ə r	Dutch
^hand$	h ɑ n t	Dutch
^handdoek$	h ɑ n d uː k	Dutch
^handelaar$	h ɑ n d ə l aː r	Dutch
^handelen$	h ɑ n d ə l ə	Dutch
^handschoen$	h ɑ n t s x uː n	Dutch
^hangmat$	h ɑ ŋ m ɑ t	Dutch
^hangslot$	h ɑ ŋ s l ɔ t	Dutch
^hard$	h ɑ r t	Dutch
^haring$	h aː r ɪ ŋ	Dutch
^hark$	h ɑ r k	Dutch
^harnas$	h ɑ r n ɑ s	Dutch
^hart$	h ɑ r t	Dutch
^haten$	h aː t ə	Dutch
^haven$	h aː v ə	Dutch
^haver$	h aː v ə r	Dutch
^havik$	h aː v ɪ k	Dutch
^hebben$	h ɛ b ə	Dutch
^heersen$	h eː r s ə	Dutch
^heet$	h eː t	Dutch
^heilig$	h ɛi l ə x	Dutch
^hek$	h ɛ k	Dutch
^heks$	h ɛ k s	Dutch
^hel (1)$	h ɛ l	Dutch
^hel (2)$	h ɛ l	Dutch
^helder$	h ɛ l d ə r	Dutch
^helft$	h ɛ l f t	Dutch
^helm$	h ɛ l m	Dutch
^helpen$	h ɛ l p ə	Dutch
^hemd$	h ɛ m t	Dutch
^hemel$	h eː m ə l	Dutch
^hen$	h ɛ n	Dutch
^hengst$	h ɛ ŋ s t	Dutch
^herder$	h ɛ r d ə r	Dutch
^herfst$	h ɛ r f s t	Dutch
^hersenen$	h ɛ r s ə n ə	Dutch
^hert$	h ɛ r t	Dutch
^het$	ə t	Dutch
^heup$	h øː p	Dutch
^heuvel$	h øː v ə l	Dutch
^hiel$	h iː l	Dutch
^hier$	h iː r	Dutch
^hij$	h ɛi	Dutch
^hikken$	h ɪ k ə	Dutch
^hinderlaag$	h ɪ n d ə r l aː x	Dutch
^hinken$	h ɪ ŋ k ə	Dutch
^hoe$	h uː	Dutch
^hoed$	h uː t	Dutch
^hoek$	h uː k	Dutch
^hoer$	h uː r	Dutch
^hoesten$	h uː s t ə	Dutch
^hoeveel$	h uː v eː l	Dutch
^hof$	h ɔ f	Dutch
^hond$	h ɔ n t	Dutch
^honderd$	h ɔ n d ə r t	Dutch
^honger hebben$	h ɔ ŋ ə r # h ɛ b ə	Dutch
^hongersnood$	h ɔ ŋ ə r s n oː t	Dutch
^honing$	h oː n ɪ ŋ	Dutch
^hoofd$	h oː f t	Dutch
^hoofdband$	h oː v d b ɑ n t	Dutch
^hoofdluis$	h oː v d l œy s	Dutch
^hoog$	h oː x	Dutch
^hooi$	h oː j	Dutch
^hoorn (1)$	h oː r n	Dutch
^hoorn (2)$	h oː r n	Dutch
^hopen$	h oː p ə	Dutch
^horen$	h oː r ə	Dutch
^houden$	h ɑu d ə	Dutch
^houden van$	h ɑu d ə # v ɑ n	Dutch
^hout$	h ɑu t	Dutch
^houtskool$	h ɑu t s k oː l	Dutch
^huid$	h œy t	Dutch
^huilen$	h œy l ə	Dutch
^huis$	h œy s	Dutch
^hurken$	h ʏ r k ə	Dutch
^hut$	h ʏ t	Dutch
^idee$	iː d eː	Dutch
^ijs$	ɛi s	Dutch
^ijzer$	ɛi z ə r	Dutch
^ik$	ɪ k	Dutch
^imiteren$	iː m iː t eː r ə	Dutch
^in$	ɪ n	Dutch
^in dienst nemen$	ɪ n # d iː n s t # n eː m ə	Dutch
^indien$	ɪ n d iː n	Dutch
^ingewanden$	ɪ ŋ ɣ ə ʋ ɑ n d ə	Dutch
^initiatieplechtigheid$	iː n iː t ʃ aː t s iː p l ɛ x t ə x h ɛi t	Dutch
^injectie$	ɪ n j ɛ k s iː	Dutch
^insect$	ɪ n s ɛ k t	Dutch
^inwijdingsplechtigheid$	ɪ n ʋ ɛi d ɪ ŋ s p l ɛ x t ə x h ɛi t	Dutch
^ja$	j aː	Dutch
^jaar$	j aː r	Dutch
^jagen$	j aː ɣ ə	Dutch
^jaguar$	j aː ɡ uː ʋ ɑ r	Dutch
^jaloezie$	j aː l uː z iː	Dutch
^jas$	j ɑ s	Dutch
^jeuk$	j øː k	Dutch
^jij$	j ɛi	Dutch
^jong$	j ɔ ŋ	Dutch
^jongeman$	j ɔ ŋ ə m ɑ n	Dutch
^jongen$	j ɔ ŋ ə	Dutch
^juist$	j œy s t	Dutch
^juk$	j ʏ k	Dutch
^jullie$	j ʏ l iː	Dutch
^jurk$	j ʏ r k	Dutch
^juweel$	j yː ʋ eː l	Dutch
^kaak$	k aː k	Dutch
^kaal$	k aː l	Dutch
^kaap$	k aː p	Dutch
^kaars$	k aː r s	Dutch
^kaas$	k aː s	Dutch
^kachel$	k ɑ x ə l	Dutch
^kadaver$	k aː d aː v ə r	Dutch
^kakkerlak$	k ɑ k ə r l ɑ k	Dutch
^kalebas$	k aː l ə b ɑ s	Dutch
^kalender$	k aː l ɛ n d ə r	Dutch
^kalf$	k ɑ l f	Dutch
^kalm$	k ɑ l m	Dutch
^kam$	k ɑ m	Dutch
^kameel$	k aː m eː l	Dutch
^kameleon$	k aː m eː l eː j ɔ n	Dutch
^kamer$	k aː m ə r	Dutch
^kamp$	k ɑ m p	Dutch
^kangoeroe$	k ɑ ŋ ɣ uː r uː	Dutch
^kano$	k aː n oː	Dutch
^kant$	k ɑ n t	Dutch
^kapot$	k aː p ɔ t	Dutch
^kar$	k ɑ r	Dutch
^kariboe$	k aː r iː b uː	Dutch
^kat$	k ɑ t	Dutch
^katapult$	k ɑ t aː p ʏ l t	Dutch
^katoen$	k aː t uː n	Dutch
^kauwen$	k ɑu ʋ ə	Dutch
^keel$	k eː l	Dutch
^kerk$	k ɛ r k	Dutch
^kerven$	k ɛ r v ə	Dutch
^ketel$	k eː t ə l	Dutch
^keten$	k eː t ə	Dutch
^ketting$	k ɛ t ɪ ŋ	Dutch
^keuken$	k øː k ə	Dutch
^kies$	k iː s	Dutch
^kieuw$	k iː ʋ	Dutch
^kiezen$	k iː z ə	Dutch
^kijken$	k ɛi k ə	Dutch
^kikker$	k ɪ k ə r	Dutch
^kin$	k ɪ n	Dutch
^kind$	k ɪ n t	Dutch
^kip$	k ɪ p	Dutch
^klaar$	k l aː r	Dutch
^klauw$	k l ɑu ʋ	Dutch
^kleding$	k l eː d ɪ ŋ	Dutch
^kleermaker$	k l eː r m aː k ə r	Dutch
^klei$	k l ɛi	Dutch
^klein$	k l ɛi n	Dutch
^kleindochter$	k l ɛi n d ɔ x t ə r	Dutch
^kleinkind$	k l ɛi ŋ k ɪ n t	Dutch
^kleinzoon$	k l ɛi n z oː n	Dutch
^kleren$	k l eː r ə	Dutch
^kleur$	k l øː r	Dutch
^klif$	k l ɪ f	Dutch
^klimmen$	k l ɪ m ə	Dutch
^klink$	k l ɪ ŋ k	Dutch
^klok$	k l ɔ k	Dutch
^kneden$	k n eː d ə	Dutch
^kneuzing$	k n øː z ɪ ŋ	Dutch
^knie$	k n iː	Dutch
^knielen$	k n iː l ə	Dutch
^knijpen$	k n ɛi p ə	Dutch
^knipperen$	k n ɪ p ə r ə	Dutch
^knoop$	k n oː p	Dutch
^knuppel$	k n ʏ p ə l	Dutch
^koe$	k uː	Dutch
^koelte toewaaien$	k uː l t ə # t uː ʋ aː j ə	Dutch
^koffie$	k ɔ f iː	Dutch
^koken$	k oː k ə	Dutch
^kokosnoot$	k oː k ɔ s n oː t	Dutch
^kom$	k ɔ m	Dutch
^komen$	k oː m ə	Dutch
^konijn$	k oː n ɛi n	Dutch
^koning$	k oː n ɪ ŋ	Dutch
^koningin$	k oː n ɪ ŋ ɪ n	Dutch
^koorts$	k oː r t s	Dutch
^kop$	k ɔ p	Dutch
^kopen$	k oː p ə	Dutch
^koper$	k oː p ə r	Dutch
^kort$	k ɔ r t	Dutch
^koud$	k ɑu t	Dutch
^kous$	k ɑu s	Dutch
^kraag$	k r aː x	Dutch
^kraai$	k r aː j	Dutch
^kraal$	k r aː l	Dutch
^kraan$	k r aː n	Dutch
^krabben$	k r ɑ b ə	Dutch
^krant$	k r ɑ n t	Dutch
^kreunen$	k r øː n ə	Dutch
^krijgen$	k r ɛi ɣ ə	Dutch
^krijsen$	k r ɛi s ə	Dutch
^krokodil$	k r oː k oː d ɪ l	Dutch
^krom$	k r ɔ m	Dutch
^krop$	k r ɔ p	Dutch
^kruik$	k r œy k	Dutch
^kruipen$	k r œy p ə	Dutch
^kruis$	k r œy s	Dutch
^kuiken$	k œy k ə	Dutch
^kuit$	k œy t	Dutch
^kussen (1)$	k ʏ s ə	Dutch
^kussen (2)$	k ʏ s ə	Dutch
^kwartel$	k ʋ ɑ r t ə l	Dutch
^kwijlen$	k ʋ ɛi l ə	Dutch
^laag$	l aː x	Dutch
^laars$	l aː r s	Dutch
^laat$	l aː t	Dutch
^laat zijn$	l aː t # z ɛi n	Dutch
^laatste$	l aː t s t ə	Dutch
^lachen$	l ɑ x ə	Dutch
^ladder$	l ɑ d ə r	Dutch
^lagune$	l aː ɣ yː n ə	Dutch
^lam (1)$	l ɑ m	Dutch
^lam (2)$	l ɑ m	Dutch
^lamp$	l ɑ m p	Dutch
^land$	l ɑ n t	Dutch
^lang$	l ɑ ŋ	Dutch
^langzaam$	l ɑ ŋ z aː m	Dutch
^lariks$	l aː r ɪ k s	Dutch
^lasso$	l ɑ s oː	Dutch
^laten vallen$	l aː t ə # v ɑ l ə	Dutch
^leeftijd$	l eː f t ɛi t	Dutch
^leeg$	l eː x	Dutch
^leer$	l eː r	Dutch
^leerling$	l eː r l ɪ ŋ	Dutch
^leeuw$	l eː ʋ	Dutch
^leger$	l eː ɣ ə r	Dutch
^leggen$	l ɛ ɣ ə	Dutch
^leiden$	l ɛi d ə	Dutch
^leider$	l ɛi d ə r	Dutch
^lelijk$	l eː l ə k	Dutch
^lemen baksteen$	l eː m ə # b ɑ k s t eː n	Dutch
^lenen$	l eː n ə	Dutch
^lente$	l ɛ n t ə	Dutch
^lepel$	l eː p ə l	Dutch
^leraar$	l eː r aː r	Dutch
^leren$	l eː r ə	Dutch
^leven (1)$	l eː v ə	Dutch
^leven (2)$	l eː v ə	Dutch
^lever$	l eː v ə r	Dutch
^lezen$	l eː z ə	Dutch
^lichaam$	l ɪ x aː m	Dutch
^lichaamshaar$	l ɪ x aː m s h aː r	Dutch
